QD-1,08751,FRANKLIN FORD,FRANKLIN,MA,7:00 AM,7:00 AM,02038
QD-2,01956,RODMAN FORD SALES,FOXBORO,MA,7:00 AM,7:00 AM,02035
QD-3,08890,RODMAN FORD SLS INC,FOXBORO,MA,7:00 AM,7:00 AM,02035
QD-4,08915,MINUTEMAN TRUCKS INC,WALPOLE,MA,7:00 AM,7:00 AM,02081
QD-5,09045,JANNELL MOTORS INC,HANOVER,MA,7:00 AM,7:00 AM,02339
QD-6,03034,COLONIAL FORD INC,PLYMOUTH,MA,7:00 AM,7:00 AM,02360
QD-7,07616,GRIECO FORD,RAYNHAM,MA,7:00 AM,7:00 AM,02767
QD-8,07650,BAYSTATE FORD INC,SOUTH EASTON,MA,5:00 AM,5:00 AM,02375
QD-9,08926,FRAMINGHAM FORD,FRAMINGHAM,MA,7:00 AM,7:00 AM,01702
QD-10,04954,TASCA FORD LINCOLN,CRANSTON,RI,3:00 AM,3:00 AM,02920
QD-15,07422,TASCA FORD,CRANSTON,RI,3:00 AM,3:00 AM,02920
QD-18,07416,TASCA FORD,SEEKONK,MA,7:00 AM,7:00 AM,02771
QD-20,09338,TASCA FORD-LINCOLN,CRANSTON,RI,3:00 AM,3:00 AM,02920
QD-21,09015,PUTNAM FORD,PUTNAM,CT,8:00 AM,8:00 AM,06260
QE-1,06152,AUTOFAIR FORD,HAVERHILL,MA,5:00 AM,5:00 AM,01831
QE-2,09137,SARAT FORD LINCOLN,AGAWAM,MA,5:00 AM,5:00 AM,01001
QE-3,02610,WALL'S FORD INC,SALISBURY,MA,7:00 AM,7:00 AM,01952
QE-4,08898,MARCOTTE FD SLS INC,HOLYOKE,MA,3:30 AM,3:30 AM,01041
QE-5,02854,BALISE FD WILBRAHAM,WILBRAHAM,MA,7:00 AM,7:00 AM,01095
QE-6,08811,SENTRY FORD-LINC,MEDFORD,MA,7:00 AM,7:00 AM,02155
QE-7,09130,JACK MADDEN SLS INC,NORWOOD,MA,4:00 AM,4:00 AM,02062
QE-9,01501,SENTRY FORD LINCOLN,MEDFORD,MA,7:00 AM,7:00 AM,02155
QF-1,03646,LITCHFIELD FORD,LITCHFIELD,CT,7:00 AM,7:00 AM,06759
QF-2,03603,COLONIAL FORD,DANBURY,CT,5:00 AM,5:00 AM,06810
QF-3,03713,BREWSTER FD SLS INC,BREWSTER,NY,7:00 AM,7:00 AM,10509
QF-4,03926,PARK FORD OF MAHOPAC,MAHOPAC,NY,7:00 AM,7:00 AM,10541
QF-5,01004,HEALEY BROTHERS FORD,BEACON,NY,7:00 AM,7:00 AM,12508
QF-6,06170,FRIENDLY FORD,POUGHKEEPSIE,NY,7:00 AM,7:00 AM,12601
QF-7,05813,ROMEO FORD,KINGSTON,NY,7:00 AM,7:00 AM,12401
QF-8,03043,RHINEBECK FORD INC,RHINEBACK,NY,7:00 AM,7:00 AM,12572
QF-9,20616,R C LACY INC,CATSKILL,NY,9:00 AM,9:00 AM,12414
QG-1,08896,MONACO/SONS MTR SLS,GLASTONBURY,CT,5:00 AM,5:00 AM,06033
QG-2,08850,RAY SERAPHIN FD INC,ROCKVILLE,CT,8:00 AM,8:00 AM,06066
QG-3,08910,COLUMBIA FORD,COLUMBIA,CT,5:00 AM,5:00 AM,06237
QG-4,09453,GIRARD FORD,NORWICH,CT,7:00 AM,7:00 AM,06360
QG-5,03752,WHALING CITY FORD,NEW LONDON,CT,7:00 AM,7:00 AM,06320
QG-6,09016,"VALENTI FORD, INC",MYSTIC,CT,8:00 AM,8:00 AM,06355
QG-7,08844,SAYBROOK FD INC,OLD SAYBROOK,CT,7:00 AM,7:00 AM,06475
QG-8,03617,HAMMONASSET FORD,MADISON,CT,8:00 AM,8:00 AM,06443
QH-1,04005,FLOOD FORD E GRNWICH,E GREENWICH,RI,5:00 AM,5:00 AM,02818
QH-2,05203,PRIME FORD-AUBURN,AUBURN,MA,7:00 AM,7:00 AM,01501
QH-3,09088,FLOOD FORD LINCOLN,NARRAGANSETT,RI,7:00 AM,7:00 AM,02882
QH-4,10844,SENTRY WEST INC,SHREWSBURY,MA,7:00 AM,7:00 AM,01545
QH-5,04048,FIRST FORD,FALL RIVER,MA,7:00 AM,7:00 AM,02721
QH-6,08888,YORK FORD INC,SAUGUS,MA,7:00 AM,7:00 AM,01906
QH-7,09075,WAREHAM FORD INC,WAREHAM,MA,7:00 AM,7:00 AM,02571
QH-8,08873,DANVERS MOTOR CO INC,DANVERS,MA,7:00 AM,7:00 AM,01923
QH-9,01627,BALISE FORD,HYANNIS,MA,8:00 AM,8:00 AM,02601
QH-10,08063,"KELLY FORD, INC",BEVERLY,MA,7:30 AM,7:30 AM,01915
QH-11,09054,STONEHAM MTR CO INC,STONEHAM,MA,7:00 AM,7:00 AM,02180
QH-12,09102,BONNELL MOTORS INC,WINCHESTER,MA,8:00 AM,8:00 AM,01890
QJ-1,04260,CROWLEY FORD LINCOLN,PLAINVILLE,CT,7:00 AM,7:00 AM,06062
QJ-2,13423,FAMILY FORD LINCOLN,WATERTOWN,CT,8:00 AM,8:00 AM,06795
QJ-3,03691,BOB THOMAS FORD INC,HAMDEN,CT,7:00 AM,7:00 AM,06517
QJ-4,03874,STEVENS FORD LINCOLN,MILFORD,CT,7:00 AM,7:00 AM,06460
QJ-5,03640,GABRIELLI FORD,MILFORD,CT,8:00 AM,8:00 AM,06460
QJ-6,03658,DOWLING FORD INC,CHESHIRE,CT,6:30 AM,6:30 AM,06410
QJ-7,09195,HOFFMAN FORD INC,E HARTFORD,CT,6:00 AM,6:00 AM,06108
QJ-8,07400,FORD OF BRANFORD,BRANFORD,CT,6:00 AM,6:00 AM,06405
QJ-9,04350,FUCCILLO FORD INC,E GREENBUSH,NY,8:00 AM,8:00 AM,12061
QJ-10,13304,CREST LINCOLN,WOODBRIDGE,CT,7:00 AM,7:00 AM,06525
QJ-11,03669,LOMBARD FORD INC,BARKHAMSTED,CT,8:00 AM,8:00 AM,06063
QJ-12,03234,MARCHESE FORD,NEW LEBANON,NY,9:00 AM,9:00 AM,12125
QJ-13,03678,PARK CITY FORD,BRIDGEPORT,CT,7:30 AM,7:30 AM,06606
QJ-14,03726,TORRINGTON FORD LINC,TORRINGTON,CT,7:30 AM,7:30 AM,06790
QJ-15,13111,JOHNSON DEALERSHIPS,PITTSFIELD,MA,7:00 AM,7:00 AM,01201
QJ-16,04166,MCMAHON FORD,NORWALK,CT,6:30 AM,6:30 AM,06851
QJ-17,06048,TASCA FORD,BERLIN,CT,7:00 AM,7:00 AM,06037
QJ-18,09740,STAMFORD FORD LINC,STAMFORD,CT,7:00 AM,7:00 AM,06902
